0.000	0.000000
1.000	1.000000
2.000	1.414214
3.000	1.732051
4.000	2.000000
5.000	2.236068
6.000	2.449490
7.000	2.645751
8.000	2.828427
9.000	3.000000
10.000	3.162278
11.000	3.316625
12.000	3.464102
13.000	3.605551
14.000	3.741657
15.000	3.872983
16.000	4.000000
17.000	4.123106
18.000	4.242641
19.000	4.358899
20.000	4.472136
21.000	4.582576
22.000	4.690416
23.000	4.795832
24.000	4.898979
25.000	5.000000
26.000	5.099020
27.000	5.196152
28.000	5.291503
29.000	5.385165
30.000	5.477226
31.000	5.567764
32.000	5.656854
33.000	5.744563
34.000	5.830952
35.000	5.916080
36.000	6.000000
37.000	6.082763
38.000	6.164414
39.000	6.244998
40.000	6.324555
41.000	6.403124
42.000	6.480741
43.000	6.557439
44.000	6.633250
45.000	6.708204
46.000	6.782330
47.000	6.855655
48.000	6.928203
49.000	7.000000
